,0
0,291.0
1,47.35
2,17.91
3,57.9068
4,3.16
5,7.89
6,24.6
7,3.35
8,103.78
9,1.19
10,3.1529
11,18.05
12,0.9
13,4.72
14,4.01
15,25.26
16,67.5
17,0.6235
18,17.7
19,27.11
20,45.6
21,25.28
22,25.62
23,53.9
24,28.35
25,31.71
26,3.89
27,13.455
28,9.01
29,11.55
30,9.75
31,0.96
32,17.51
33,26.8675
34,72.77
35,6.27
36,10.27
37,17.9
38,13.23
39,42.35
40,0.8
41,27.43
42,77.1
43,6.49
44,1.08
45,14.0
46,31.64
47,13.01
48,0.98
49,5.03
50,29.36
51,46.4
52,2.58
53,46.03
54,97.5
55,9.25
56,85.71
57,7.3
58,8.36
59,90.18
60,11.88
61,19.78
62,10.44
63,31.6467
64,7.02
65,5.7
66,12.88
67,0.9499
68,10.17
69,14.63
70,116.58
71,9.87
72,99.23
73,154.1
74,140.12
75,63.13
76,12.55
77,24.93
78,11.6
79,37.82
80,5.04
81,2.94
82,3.31
83,72.4
84,2.74
85,28.49
86,27.19
87,3.18
88,7.19
89,11.33
90,22.7
91,6.06
92,32.66
93,2.32
94,69.58
95,36.56
96,31.41
97,16.5
98,22.41
99,9.53
100,86.73
101,55.86
102,50.21
103,47.67
104,4.62
105,22.51
106,13.7997
107,31.39
108,105.49
109,6.91
110,10.6
111,9.06
112,11.24
113,68.09
114,6.48
115,25.7
116,42.83
117,110.89
118,28.71
119,22.51
120,26.5274
121,35.575
122,22.04
123,13.99
124,21.01
125,0.6953
126,25.07
127,17.0
128,27.6
129,14.16
130,25.44
131,19.01
132,32.33
133,9.82
134,10.37
135,70.64
136,708.24
137,71.7
138,3.6212
139,227.99
140,21.91
141,11.2
142,17.99
143,9.02
144,5.3029
145,36.22
146,33.61
147,6.6976
148,2.94
149,328.14
150,4.15
151,68.64
152,23.4
153,41.27
154,14.68
155,9.9
156,122.77
157,14.85
158,1.7
159,118.11
160,37.59
161,14.42
162,20.41
163,35.96
164,22.0967
165,9.87
166,37.57
167,39.5
168,10.16
169,3.73
170,10.4
171,188.12
172,205.57
173,79.64
174,40.55
175,12.6963
176,17.91
177,45.42
178,31.9669
179,74.33
180,1.99
181,30.87
182,14.2914
183,43.72
184,11.08
185,16.57
186,158.37
187,64.92
188,3.71
189,32.37
190,54.03
191,46.93
192,0.415
193,15.0
194,23.41
195,68.53
196,2.65
197,15.87
198,0.8617
199,83.16
200,14.84
201,18.38
202,41.94
203,1.82
204,5.61
205,37.43
206,225.81
207,51.88
208,2.88
209,45.0
210,10.98
211,23.52
212,8.375
213,131.73
214,26.7
215,56.77
216,3.01
217,25.231
218,19.81
219,57.47
220,20.89
221,52.42
222,11.01
223,99.84
224,67.04
225,17.03
226,42.49
227,31.96
228,13.44
229,10.17
230,25.29
231,15.694
232,131.08
233,10.03
234,32.67
235,64.19
236,49.61
237,9.23
238,294.09
239,63.12
240,15.6
241,11.38
242,3.68
243,3.92
244,59.14
245,37.21
246,4.45
247,13.19
248,24.95
249,16.9706
250,16.3
251,35.25
252,3.66
253,40.09
254,2.37
255,59.21
256,19.52
257,15.35
258,11.37
259,36.8
260,21.14
261,25.32
262,35.06
263,11.11
264,1.23
265,0.5271
266,79.68
267,6.37
268,5.425
269,4.72
270,55.88
271,17.17
272,48.13
273,17.78
274,118.61
275,10.5611
276,25.65
277,20.63
278,78.64
279,0.15
280,13.43
281,0.5643
282,9.2344
283,249.12
284,14.79
285,81.02
286,66.69
287,116.01
288,370.03
289,70.82
290,8.28
291,7.0
292,3.96
293,9.98
294,57.95
295,25.07
296,0.91
297,54.0
298,4.2
299,4.21
300,15.75
301,4.4975
302,131.14
303,5.45
304,19.05
305,57.39
306,38.38
307,219.57
308,40.2
309,203.04
310,100.33
311,16.61
312,2.56
313,27.09
314,9.26
315,17.8165
316,133.38
317,5.2863
318,31.99
319,73.48
320,23.56
321,9.47
322,19.29
323,14.07
324,12.7
325,27.48
326,15.47
327,59.6
328,36.66
329,21.9295
330,19.82
331,10.3
332,16.9
333,3.01
334,14.73
335,7.88
336,111.26
337,78.71
338,4.8
339,91.5
340,20.06
341,212.16
342,37.07
343,21.69
344,14.0274
345,7.31
346,23.84
347,21.25
348,216.1
349,33.53
350,38.07
351,5.33
352,48.4
353,37.45
354,74.25
355,81.19
356,9.0
357,4.16
358,9.01
359,80.56
360,35.49
361,52.0
362,3.6
363,24.73
364,4.75
365,28.07
366,39.73
367,2.1105
368,4.1
369,161.54
370,16.0
371,15.694
372,21.19
373,136.22
374,26.85
375,38.22
376,15.61
377,2.49
378,31.48
379,38.15
380,1.88
381,8.39
382,106.99
383,0.95
384,23.61
385,2.34
386,0.449
387,4.247
388,2.86
389,34.32
390,8.35
391,0.2957
392,14.77
393,20.8
394,2.7
395,261.84
396,165.76
397,51.83
398,2.03
399,16.3
400,288.0
401,16.13
402,6.95
403,33.48
404,6.5001
405,66.41
406,4.42
407,11.88
408,14.0
409,3.81
410,6.5001
411,1.47
412,42.25
413,16.0
414,6.65
415,19.4694
416,2.65
417,41.97
418,13.8
419,0.322
420,107.83
421,6.88
422,2.64
423,11.86
424,51.79
425,42.455
426,61.45
427,1.5
428,15.24
429,10.17
430,32.0
431,5.94
432,50.23
433,100.73
434,4.8
435,30.01
436,25.2748
437,27.77
438,2.365
439,124.32
440,113.67
441,16.96
442,10.98
443,24.72
444,10.17
445,112.15
446,175.74
447,14.0274
448,1.27
449,10.03
450,7.53
451,37.35
452,7.16
453,14.45
454,31.16
455,14.11
456,11.0
457,16.08
458,3.6
459,10.17
460,1.407
461,48.49
462,174.05
463,51.31
464,32.06
465,1.25
466,38.6
467,32.34
468,3.8
469,25.3214
470,31.32
471,3.68
472,100.0
473,24.9
474,40.75
475,43.41
476,75.03
477,9.49
478,13.64
479,15.43
480,86.32
481,9.4
482,41.51
483,8.43
484,18.17
485,3.01
486,43.5
487,28.99
488,7.55
489,82.99
490,3.48
491,59.87
492,25.33
493,36.01
494,46.8
495,141.13
496,84.09
497,70.43
498,50.71
499,33.31
500,26.48
501,16.99
502,0.9396
503,3.7
504,4.44
505,22.57
506,23.39
507,8.4
508,11.52
509,12.82
510,17.04
511,8.09
512,6.4
513,28.34
514,14.07
515,29.94
516,9.28
517,22.49
518,22.75
519,31.85
520,93.04
521,7.81
522,26.38
523,7.9
524,50.41
525,3.26
526,10.16
527,48.09
528,31.57
529,152.45
530,41.85
531,26.35
532,290.24
533,17.15
534,30.1
535,34.0
536,67.1384
537,0.3409
538,0.05
539,14.285
540,1.9
541,24.4
542,6.32
543,734.91
544,11.55
545,12.4
546,10.45
547,10.0
548,2.02
549,24.35
550,112.23
551,9.82
552,9.75
553,47.03
554,61.94
555,16.77
556,9.89
557,7.3
558,0.5509
559,9.35
560,45.74
561,41.56
562,11.85
563,13.76
564,43.51
565,14.78
566,6.75
567,4.25
568,158.19
569,431.79
570,65.74
571,14.35
572,101.7
573,48.96
574,29.76
575,26.0
576,25.58
577,55.68
578,14.99
579,9.84
580,135.34
581,21.81
582,11.54
583,20.87
584,21.26
585,7.362
586,16.52
587,169.16
588,2.12
589,26.69
590,26.21
591,62.56
592,14.28
593,66.56
594,22.16
595,15.32
596,38.24
597,30.26
598,83.388
599,43.88
600,1.5
601,28.74
602,51.63
603,1.24
604,15.38
605,10.46
606,65.175
